condition,polarization_mean,polarization_std,ever_flip_mean,persistent_flip_mean,mean_crossings,final_variance_mean,final_extremity_mean,edge_distance_mean,same_side_edges_mean,clustering_mean
Socially dominated echo chamber,0.6863658811837066,0.01062008346902029,0.0,0.0,0.0,0.6636063000911124,0.8124902206011635,0.025242916293808693,0.9996666666666666,0.14324877899877894
Algorithmic filter bubble,0.6772205027760161,0.006226072295787586,0.0,0.0,0.0,0.6495989606157836,0.8032998434371728,0.039095617310794424,0.9986666666666666,0.14989445554445546
Moderately personalized environment,0.5967023618549403,0.008246730262586722,0.003,0.003,0.003,0.5739965714551799,0.7556916745285905,0.43329188358927234,0.7336666666666667,0.28954386724386705
Diverse weak-personalization environment,0.47235113077190577,0.014256100797493149,0.042,0.034,0.065,0.4483912409211482,0.6549230589765397,0.5484630602124702,0.6305690048932251,0.4258706349206349
Popularity-dominated mainstream,0.4410668167399323,0.008312957968005753,0.014000000000000002,0.014000000000000002,0.022000000000000002,0.4237382773559163,0.6498149055557704,0.47784860943199703,0.6513333333333333,0.3563912698412697
Cross-cutting high-openness environment,0.2484145107650933,0.01888293206063856,0.376,0.14100000000000001,2.824,0.2461647709512392,0.4355205655740222,0.4699359844833052,0.6037055827668429,0.4263920634920635
